Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.020132,-3.9015E-08,-0.081727,0,0,0,40.837,0.25645,2.2925E-07,0.00038672,0.24014,-5.4858E-08,0.39747,0,0,0,0,0,0,package://pro/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pro/meshes/base_link.STL,,SCOUTmini教育套装-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
box_link,-0.019065,0.0082257,0.11466,0,0,0,2.4135,0.0088463,2.0356E-05,-0.00047464,0.0066478,-6.9288E-06,0.01219,0,0,0,0,0,0,package://pro/meshes/box_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pro/meshes/box_link.STL,,Helios_Lede_20220314(1)-1;显示屏-1;USB HUB -7口-2;M-D024-250009-A-1;M-D024-250011-A-1;M-D024-250010-A-1;大铝-5;Helios_电源盒_直头线（标准版）_asm-1;LEEP-2;CH110_SHELL-1;IntelRealsense_D435(i)_Multibody-1;M-D024-180002-A-2;大铝-6;M-D024-250012-A-1;M-D024-180003-A-1;M-D024-250006-B-1;GL-AR750-2;M-D053-250100-A-1,坐标系1,,box_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
